Identifier,Title
barrenho_inequities_2022,Inequities in cancer drug development in terms of unmet medical need
casali_rare_2022,‘Rare cancers’: not all together in clinical studies!
hoes_patients_2022,Patients with Rare Cancers in the Drug Rediscovery Protocol (DRUP) Benefit from Genomics-Guided Treatment
gatta_rare_2011,Rare cancers are not so rare: The rare cancer burden in Europe
gatta_burden_2017,Burden and centralised treatment in Europe of rare tumours: results of RARECAREnet—a population-based study
matsuda_rare_2020,Rare cancers are not rare in Asia as well: The rare cancer burden in East Asia
blay_value_2016,The value of research collaborations and consortia in rare cancers
komatsubara_promise_2016,The promise and challenges of rare cancer research
greenlee_occurrence_2010,"The Occurrence of Rare Cancers in U.S. Adults, 1995–2004"
tamaki_burden_2014,The burden of rare cancer in Japan: Application of the RARECARE definition
the_lancet_oncology_very_2001,Very rare cancers — a problem neglected
sokolowski_proof--concept_2014,Proof-of-concept rare cancers in drug development: the case for rhabdomyosarcoma
bilkey_descriptive_2021,"Descriptive epidemiological study of rare, less common and common cancers in Western Australia"
de_heus_differences_2021,Differences in health care experiences between rare cancer and common cancer patients: results from a national cross-sectional survey
duijts_rare_2021,Rare cancers and cancer of unknown primary: Here's what you should know!
bustamante-teixeira_incidence_2019,"Incidence of rare cancers in the city of São Paulo, Brazil"
graf_von_der_schulenburg_rare_2017,Rare cancers—Rarity as a cost and value argument
iskrov2018,Редките тумори – епидемиологични и общественоздравни аспекти
keat_international_2013,International Rare Cancers Initiative
shrivastava_cancer_2017,Cancer research: Challenges and promise for individualized treatment
konsulova_2021,Колко редки са редките онкологични болести?
raghavan_structured_2013,A structured approach to uncommon cancers: what should a clinician do?
jin_bayesian_2020,Bayesian methods for the analysis of early‐phase oncology basket trials with information borrowing across cancer types
gatta2010burden,The burden of rare cancers in Europe
ESMORare82:online,Improving Rare Cancer Care in Europe Recommendations on Stakeholder Actions and Public Policies
Boyd2016,Rare cancers: a sea of opportunity
Billingham2016,Research methods to change clinical practice for patients with rare cancers
Hiripi2012,Survival from common and rare cancers in Germany in the early 21st century
Dijk2012,Rare cancers of the head and neck area in Europe
Tan2003,Strategy for randomised clinical trials in rare cancers
Gatta2019,Epidemiology of rare cancers and inequalities in oncologic outcomes
Charbotel2014,Occupational exposures in rare cancers: A critical review of the literature
RayCoquard2017,Improving treatment results with reference centres for~rare cancers: where do we stand?
Zwan2013,Rare neuroendocrine tumours: Results of the surveillance of rare cancers in Europe project
Frezza2019,"Networking in rare cancers: What was done, what is next?"
Botta2020,Incidence and survival of rare cancers in the US and Europe
Rosell2019,"Function, information, and contributions: An evaluation of national multidisciplinary team meetings for rare cancers"
Buller2021,Invited Commentary: Predicting Incidence Rates of Rare Cancers\textemdashAdding Epidemiologic and Spatial Contexts
Munoz2012,Targeted therapy in rare cancers—adopting the orphans
